Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57935529,06/18/2023 09:50:23 AM,06/19/2023 09:11:57 AM,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Blocking Sidewalk,Street,10461,2932 DUDLEY AVENUE,DUDLEY AVENUE,CORNELL PLACE,WELLMAN AVENUE,CORNELL PLACE,WELLMAN AVENUE,ADDRESS,BRONX,DUDLEY AVENUE,,Closed,,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",06/19/2023 09:12:01 AM,10 BRONX,13,Precinct 45,2053910032,BRONX,1030790,245825,PHONE,Unspecified,BRONX,,,,,,,,40.84128540503567,-73.83179915741755,POINT (-73.831799157418 40.841285405036)
57938247,06/18/2023 10:03:34 PM,06/18/2023 11:04:47 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),,Residential Building/House,11419,107-43 127 STREET,127 STREET,107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,ADDRESS,SOUTH RICHMOND HILL,127 STREET,,Closed,,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,06/18/2023 11:04:52 PM,10 QUEENS,28,Precinct 106,4096070063,QUEENS,1035151,189202,PHONE,Unspecified,QUEENS,,,,,,,,40.685846192686014,-73.81646681660662,POINT (-73.816466816607 40.685846192686)
57938958,06/18/2023 02:01:40 PM,11/22/2023 11:49:57 AM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street Tree,Street,11217,233 BUTLER STREET,BUTLER STREET,BOND STREET,NEVINS STREET,BOND STREET,NEVINS STREET,ADDRESS,BROOKLYN,BUTLER STREET,,Closed,,NYC Parks determined that the requested location cannot receive a new tree because of conflicts with surrounding infrastructure.,11/22/2023 11:50:03 AM,06 BROOKLYN,39,Precinct 76,3004050051,BROOKLYN,988002,187734,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68196243389455,-73.98647225205205,POINT (-73.986472252052 40.681962433895)
57929175,06/17/2023 06:13:37 PM,06/17/2023 06:35:37 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11103,32-21 47 STREET,47 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,47 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/17/2023 06:35:42 PM,01 QUEENS,22,Precinct 114,4007230030,QUEENS,1008158,214709,MOBILE,Unspecified,QUEENS,,,,,,,,40.755970788181756,-73.9137044818128,POINT (-73.913704481813 40.755970788182)
57931290,06/17/2023 11:57:10 PM,06/18/2023 12:06:22 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11238,210 PARK PLACE,PARK PLACE,CARLTON AVENUE,VANDERBILT AVENUE,CARLTON AVENUE,VANDERBILT AVENUE,ADDRESS,BROOKLYN,PARK PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 12:06:26 AM,08 BROOKLYN,35,Precinct 78,3011640035,BROOKLYN,992332,185974,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.677128738590724,-73.97086265025303,POINT (-73.970862650253 40.677128738591)
57929220,06/17/2023 06:55:57 PM,06/17/2023 07:21:54 PM,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Blocking Driveway,Street/Sidewalk,11105,21-72 37 STREET,37 STREET,21 AVENUE,DITMARS BOULEVARD,21 AVENUE,DITMARS BOULEVARD,ADDRESS,ASTORIA,37 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/17/2023 07:21:59 PM,01 QUEENS,22,Precinct 114,4008230062,QUEENS,1009953,221320,ONLINE,Unspecified,QUEENS,,,,,,,,40.77411122925411,-73.90720018509406,POINT (-73.907200185094 40.774111229254)
57932964,06/18/2023 04:10:20 AM,06/18/2023 08:11:59 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11435,142-15 BRINKERHOFF AVENUE,BRINKERHOFF AVENUE,111 AVENUE,143 STREET,111 AVENUE,143 STREET,ADDRESS,JAMAICA,BRINKERHOFF AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,06/18/2023 08:12:05 AM,12 QUEENS,28,Precinct 103,,QUEENS,1039132,189285,MOBILE,Unspecified,QUEENS,,,,,,,,40.686050218810585,-73.80211193909331,POINT (-73.802111939093 40.686050218811)
57937671,06/18/2023 01:55:09 PM,06/18/2023 02:41:32 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,,Street/Sidewalk,10468,89 WEST FORDHAM ROAD,WEST FORDHAM ROAD,GRAND AVENUE,UNIVERSITY AVENUE,GRAND AVENUE,UNIVERSITY AVENUE,ADDRESS,BRONX,WEST FORDHAM ROAD,,Closed,,The Police Department issued a summons in response to the complaint.,06/18/2023 02:41:38 PM,07 BRONX,14,Precinct 52,2032130001,BRONX,1010654,253617,MOBILE,Unspecified,BRONX,,,,,,,,40.86275528403885,-73.90454217920336,POINT (-73.904542179203 40.862755284039)
57942621,06/20/2023 01:24:46 AM,06/20/2023 02:20:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,,Store/Commercial,10466,4340 WHITE PLAINS ROAD,WHITE PLAINS ROAD,EAST  236 STREET,EAST  237 STREET,EAST  236 STREET,EAST  237 STREET,ADDRESS,BRONX,WHITE PLAINS ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/20/2023 02:20:48 AM,12 BRONX,11,Precinct 47,2050430028,BRONX,1024188,266003,MOBILE,Unspecified,BRONX,,,,,,,,40.89670010784821,-73.85553922303484,POINT (-73.855539223035 40.896700107848)
57937131,06/18/2023 06:09:35 AM,06/18/2023 06:19:03 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,,Street/Sidewalk,11206,MARCY AVENUE,MARCY AVENUE,MARCY AVENUE,PARK AVENUE,MARCY AVENUE,PARK AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 06:19:12 AM,03 BROOKLYN,36,Precinct 79,,BROOKLYN,998212,193429,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.697583679537715,-73.94964853919328,POINT (-73.949648539193 40.697583679538)
