Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57931859,06/18/2023 04:07:57 PM,06/28/2023 12:45:33 PM,DHS,Department of Homeless Services,Homeless Person Assistance,,,Subway,,,,,,,,ADDRESS,,,,Closed,,"Due to technical issues or other circumstances, the Department of Homeless Services has determined that this request should now be administratively closed.",06/28/2023 12:45:33 PM,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,986905,207081,ONLINE,Unspecified,MANHATTAN,,,,L,L platform,,Platform,40.7350657642674,-73.99041983091914,POINT (-73.990419830919 40.735065764267)
57931355,06/17/2023 08:01:16 PM,06/17/2023 08:21:27 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10027,79 WEST  128 STREET,WEST  128 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  128 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/17/2023 08:21:31 PM,10 MANHATTAN,09,Precinct 32,1017260006,MANHATTAN,1000010,234123,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.809275325908594,-73.94306899574957,POINT (-73.94306899575 40.809275325909)
57934424,06/18/2023 06:17:11 PM,06/18/2023 06:49:54 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10472,2236 BLACKROCK AVENUE,BLACKROCK AVENUE,CASTLE HILL AVENUE,EAST  177 STREET,CASTLE HILL AVENUE,EAST  177 STREET,ADDRESS,BRONX,BLACKROCK AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 06:50:02 PM,09 BRONX,18,Precinct 43,2038160024,BRONX,1025894,241400,MOBILE,Unspecified,BRONX,,,,,,,,40.82916452249749,-73.84952129285142,POINT (-73.849521292851 40.829164522497)
57930131,06/18/2023 12:11:03 AM,06/18/2023 12:16:08 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11221,723 QUINCY STREET,QUINCY STREET,MALCOLM X BOULEVARD,PATCHEN AVENUE,MALCOLM X BOULEVARD,PATCHEN AVENUE,ADDRESS,BROOKLYN,QUINCY STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/18/2023 12:16:12 AM,03 BROOKLYN,36,Precinct 81,3016270082,BROOKLYN,1003818,190454,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68940737531472,-73.92944015043412,POINT (-73.929440150434 40.689407375315)
57939185,06/19/2023 12:18:28 AM,06/19/2023 02:05:13 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11211,69 HAVEMEYER STREET,HAVEMEYER STREET,NORTH    6 STREET,NORTH    5 STREET,NORTH    6 STREET,NORTH    5 STREET,ADDRESS,BROOKLYN,HAVEMEYER STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/19/2023 02:06:28 AM,01 BROOKLYN,34,Precinct 94,3023390006,BROOKLYN,996819,199657,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71468015644592,-73.95466051893207,POINT (-73.954660518932 40.714680156446)
57941408,06/19/2023 05:41:00 PM,06/19/2023 05:50:00 PM,DEP,Department of Environmental Protection,Water System,No Water (WNW),WNW,,10314,10 DREYER AVENUE,DREYER AVENUE,WILLOWBROOK RD,HAWTHORNE AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,06/19/2023 05:50:00 PM,02 STATEN ISLAND,50,Precinct 121,5020910038,STATEN ISLAND,943084,160504,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.60712713210201,-74.14825674334703,POINT (-74.148256743347 40.607127132102)
57941345,06/19/2023 09:39:27 AM,06/19/2023 10:00:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11433,108-26 159 STREET,159 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,159 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/19/2023 10:00:09 AM,12 QUEENS,28,Precinct 103,4101460051,QUEENS,1041463,192497,ONLINE,Unspecified,QUEENS,,,,,,,,40.694851633900804,-73.79367980321378,POINT (-73.793679803214 40.694851633901)
57940742,06/18/2023 08:08:24 AM,06/22/2023 10:05:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,10312,RAMONA AVENUE,RAMONA AVENUE,ELLSWORTH AVENUE,HUGUENOT AVENUE,,,BLOCKFACE,STATEN ISLAND,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,06/22/2023 10:05:00 AM,03 STATEN ISLAND,,Precinct 123,,STATEN ISLAND,,,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,,,
57938123,06/18/2023 02:55:46 AM,06/18/2023 03:11:22 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,11225,1254 UNION STREET,UNION STREET,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 03:11:26 AM,09 BROOKLYN,35,Precinct 71,3012760023,BROOKLYN,998310,182969,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66887321314201,-73.94931694547995,POINT (-73.94931694548 40.668873213142)
57937106,06/18/2023 05:14:42 PM,06/18/2023 06:34:33 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,,Residential Building/House,11223,1729 WEST   11 STREET,WEST   11 STREET,QUENTIN ROAD,HIGHLAWN AVENUE,QUENTIN ROAD,HIGHLAWN AVENUE,ADDRESS,BROOKLYN,WEST   11 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,06/18/2023 06:34:38 PM,11 BROOKLYN,43,Precinct 62,3066460082,BROOKLYN,988742,159532,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60455367082001,-73.98382297753712,POINT (-73.983822977537 40.60455367082)
