Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57927810,06/17/2023 10:39:33 PM,06/17/2023 10:57:21 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10468,CRESTON AVENUE,CRESTON AVENUE,CRESTON AVENUE,EAST  192 STREET,CRESTON AVENUE,EAST  192 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/17/2023 10:57:24 PM,07 BRONX,14,Precinct 52,,BRONX,1012786,254319,ONLINE,Unspecified,BRONX,,,,,,,,40.86467542610047,-73.89683142264676,POINT (-73.896831422647 40.8646754261)
57943110,06/19/2023 04:37:15 PM,06/19/2023 04:51:46 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11694,1 BEACH  105 STREET,BEACH  105 STREET,SHORE FRONT PARKWAY,ROCKAWAY BEACH BOULEVARD,SHORE FRONT PARKWAY,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,BEACH  105 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,06/19/2023 04:51:52 PM,14 QUEENS,32,Precinct 100,4161770055,QUEENS,1032786,151180,MOBILE,Unspecified,QUEENS,,,,,,,,40.581497376117156,-73.8252677155637,POINT (-73.825267715564 40.581497376117)
57938223,06/18/2023 10:54:19 PM,06/18/2023 10:55:35 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,,Street/Sidewalk,10451,750 GRAND CONCOURSE,GRAND CONCOURSE,EAST  153 STREET,EAST  156 STREET,EAST  153 STREET,EAST  156 STREET,ADDRESS,BRONX,GRAND CONCOURSE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 10:55:40 PM,04 BRONX,16,Precinct 44,2024580026,BRONX,1005104,239088,MOBILE,Unspecified,BRONX,,,,,,,,40.822892299365904,-73.92465214640484,POINT (-73.924652146405 40.822892299366)
57931563,06/18/2023 11:00:00 AM,07/08/2023 03:46:24 PM,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,N/A,Street,10011,140 9 AVENUE,9 AVENUE,WEST   18 STREET,WEST   19 STREET,WEST   18 STREET,WEST   19 STREET,ADDRESS,NEW YORK,9 AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,06/20/2023 10:13:42 AM,04 MANHATTAN,03,Precinct 10,1007420074,MANHATTAN,983344,210265,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.743805406053724,-74.00326959388381,POINT (-74.003269593884 40.743805406054)
57930015,06/17/2023 06:14:17 PM,06/17/2023 07:28:08 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,Store/Commercial,10462,2205 EAST TREMONT AVENUE,EAST TREMONT AVENUE,DOGWOOD DRIVE,ELM DRIVE,DOGWOOD DRIVE,ELM DRIVE,ADDRESS,BRONX,EAST TREMONT AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/17/2023 07:28:13 PM,11 BRONX,13,Precinct 49,2040420248,BRONX,1023792,246091,MOBILE,Unspecified,BRONX,,,,,,,,40.84204960499701,-73.85708910648162,POINT (-73.857089106482 40.842049604997)
57940617,06/19/2023 12:22:49 AM,06/19/2023 12:39:50 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11233,180 HOWARD AVENUE,HOWARD AVENUE,BAINBRIDGE STREET,CHAUNCEY STREET,BAINBRIDGE STREET,CHAUNCEY STREET,ADDRESS,BROOKLYN,HOWARD AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/19/2023 12:39:55 AM,03 BROOKLYN,41,Precinct 81,3015080044,BROOKLYN,1006481,187789,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68208627465626,-73.91984649150035,POINT (-73.9198464915 40.682086274656)
57943389,06/19/2023 10:46:59 PM,06/19/2023 11:03:40 PM,NYPD,New York City Police Department,Drinking,In Public,,Club/Bar/Restaurant,11232,4505 2 AVENUE,2 AVENUE,45 STREET,46 STREET,45 STREET,46 STREET,ADDRESS,BROOKLYN,2 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/19/2023 11:03:44 PM,07 BROOKLYN,38,Precinct 72,3007450001,BROOKLYN,980335,176742,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65179176937649,-74.01410905728689,POINT (-74.014109057287 40.651791769376)
57942570,06/19/2023 01:26:04 PM,05/13/2025 04:51:24 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street Tree,Street,11220,474 SENATOR STREET,SENATOR STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,SENATOR STREET,,Closed,,"In an effort to more fully and efficiently service each city block, NYC Parks is shifting their street tree planting program to a neighborhood approach.  If the site that you requested meets the criteria for planting, NYC Parks will plant a tree through their new Neighborhood Tree Planting Program.   NYC Parks is no longer accepting new tree planting requests. Each neighborhood will be surveyed, inspected, and planted sequentially. NYC Parks foresters will be conducting tree removal, stump removal, and planting block by block and closing all unplantable tree beds. The most heat-vulnerable neighborhoods will be prioritized first.  To learn more about this program, visit nyc.gov/parks/street-tree-planting.  To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",05/13/2025 04:51:29 PM,10 BROOKLYN,47,Precinct 68,3058550037,BROOKLYN,978364,170743,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.63532471472932,-74.02120700361723,POINT (-74.021207003617 40.635324714729)
57935460,06/18/2023 12:32:43 PM,08/23/2023 11:38:20 AM,DOT,Department of Transportation,Curb Condition,Broken Curb,1-3 Residential Units,Sidewalk,11694,169 BEACH  117 STREET,BEACH  117 STREET,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,BEACH  117 STREET,,Closed,,This request required re-assignment to a new DOT unit.,08/23/2023 11:38:28 AM,14 QUEENS,32,Precinct 100,4162270021,QUEENS,1029332,150194,ONLINE,Unspecified,QUEENS,,,,,,,,40.578809243625315,-73.8377088534801,POINT (-73.83770885348 40.578809243625)
57928638,06/17/2023 02:54:23 PM,06/30/2023 03:48:56 PM,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,N/A,Street,10306,14 JOEL PLACE,JOEL PLACE,RIEDEL AVENUE,CRANFORD AVENUE,RIEDEL AVENUE,CRANFORD AVENUE,ADDRESS,STATEN ISLAND,JOEL PLACE,,Closed,,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,06/30/2023 03:49:02 PM,03 STATEN ISLAND,50,Precinct 122,5043270122,STATEN ISLAND,948390,148308,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57367464973475,-74.12908282508347,POINT (-74.129082825083 40.573674649735)
