Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57929953,06/17/2023 12:17:40 PM,06/17/2023 12:46:59 PM,NYPD,New York City Police Department,Panhandling,N/A,,Store/Commercial,10018,400 WEST   40 STREET,WEST   40 STREET,9 AVENUE,DYER AVENUE,9 AVENUE,DYER AVENUE,ADDRESS,NEW YORK,WEST   40 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/17/2023 12:47:03 PM,04 MANHATTAN,03,Precinct 10,1007370039,MANHATTAN,986008,215136,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.75717494266791,-73.99365441529672,POINT (-73.993654415297 40.757174942668)
57931843,06/18/2023 08:47:47 AM,06/20/2023 01:46:50 PM,DOT,Department of Transportation,Street Sign - Damaged,Other/Unknown,N/A,Street,11238,WASHINGTON AVENUE,WASHINGTON AVENUE,ST JOHNS PLACE,LINCOLN PLACE,ST JOHNS PLACE,LINCOLN PLACE,BLOCKFACE,,,,Closed,,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",06/20/2023 01:46:55 PM,Unspecified BROOKLYN,,Precinct 77,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
57936631,06/18/2023 06:18:55 PM,06/18/2023 06:56:07 PM,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,,Street/Sidewalk,11422,147-01 BROOKVILLE BOULEVARD,BROOKVILLE BOULEVARD,147 AVENUE,147 ROAD,147 AVENUE,147 ROAD,ADDRESS,ROSEDALE,BROOKVILLE BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 06:56:11 PM,13 QUEENS,31,Precinct 105,4137380147,QUEENS,1054994,178840,ONLINE,Unspecified,QUEENS,,,,,,,,40.657268588091135,-73.74502822518433,POINT (-73.745028225184 40.657268588091)
57940915,06/19/2023 07:28:35 AM,08/05/2024 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,,11377,50-29 45 STREET,45 STREET,,,,,ADDRESS,WOODSIDE,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/05/2024 12:00:00 AM,02 QUEENS,26,Precinct 108,4022950029,QUEENS,1006169,207724,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.73680387810812,-73.92090650399207,POINT (-73.920906503992 40.736803878108)
57943858,06/19/2023 10:03:24 PM,10/24/2024 02:00:24 PM,EDC,Economic Development Corporation,Noise - Helicopter,Other,Flying Too Low,Above Address,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,ADDRESS,NEW YORK,5 AVENUE,,Closed,,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.Â  Instead, it was most likely a law enforcement or news gathering helicopter not subject to the routing protocols established for tour helicopters. It may also have been a helicopter that departed as a charter or tour from another City but flew over NYC airspace. Helicopter tours originating from outside NYC are not subject to the same City regulations as tours departing from heliports managed by NYCEDC. Any City regulation of these flights is pre-empted by federal law and subject only to the jurisdiction of the Federal Aviation Administration. To file a complaint with the FAA, you can contact the New York Flight Standards District Office at the following web address:Â https://www.faa.gov/about/office_org/field_offices/fsdo/",10/24/2024 02:00:27 PM,64 MANHATTAN,06,Precinct 22,1011110001,MANHATTAN,994623,222956,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77863290127972,-73.96254609596876,POINT (-73.962546095969 40.77863290128)
57940087,06/18/2023 02:30:40 PM,06/18/2023 03:08:32 PM,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,,Street/Sidewalk,11228,1339 84 STREET,84 STREET,13 AVENUE,14 AVENUE,13 AVENUE,14 AVENUE,ADDRESS,BROOKLYN,84 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 03:08:37 PM,10 BROOKLYN,50,Precinct 68,3063090062,BROOKLYN,980996,163207,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.614641332511674,-74.01172038864233,POINT (-74.011720388642 40.614641332512)
57927289,06/17/2023 02:40:00 AM,06/17/2023 07:46:00 AM,DOT,Department of Transportation,Street Light Condition,Lamppost Knocked Down,Location Type: Intersection,,10314,,,,,VICTORY BOULEVARD,TRAVIS AVENUE,INTERSECTION,STATEN ISLAND,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,06/17/2023 07:46:00 AM,02 STATEN ISLAND,50,Precinct 121,,STATEN ISLAND,934758,157860,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.59982731534111,-74.17822285597472,POINT (-74.178222855975 40.599827315341)
57929935,06/17/2023 02:34:37 PM,06/17/2023 02:34:37 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,,1-2 Family Dwelling,10301,144 DANIEL LOW TERRACE,DANIEL LOW TERRACE,FORT PLACE,BENZIGER AVENUE,FORT PLACE,BENZIGER AVENUE,ADDRESS,STATEN ISLAND,DANIEL LOW TERRACE,,Closed,,An inspection of the property was conducted and it passed with minor violations found.,06/17/2023 02:34:37 PM,01 STATEN ISLAND,49,Precinct 120,5000260044,STATEN ISLAND,961929,172861,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.64111200187463,-74.0804285838605,POINT (-74.08042858386 40.641112001875)
57939160,06/18/2023 09:10:39 PM,06/18/2023 09:45:39 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10461,1964 LURTING AVENUE,LURTING AVENUE,RHINELANDER AVENUE,NEILL AVENUE,RHINELANDER AVENUE,NEILL AVENUE,ADDRESS,BRONX,LURTING AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 09:45:42 PM,11 BRONX,13,Precinct 49,2042710001,BRONX,1024006,249835,ONLINE,Unspecified,BRONX,,,,,,,,40.85232480756065,-73.85629348008624,POINT (-73.856293480086 40.852324807561)
57929890,06/17/2023 11:04:06 PM,06/17/2023 11:49:49 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11433,108-31 173 STREET,173 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,173 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/17/2023 11:49:52 PM,12 QUEENS,27,Precinct 103,4102570078,QUEENS,1044564,194122,MOBILE,Unspecified,QUEENS,,,,,,,,40.69929127640191,-73.78248254220156,POINT (-73.782482542202 40.699291276402)
57937432,06/18/2023 11:21:58 AM,06/19/2023 12:42:00 PM,DSNY,Department of Sanitation,Dumpster Complaint,Overflowing,N/A,Sidewalk,11205,19 CLINTON AVENUE,CLINTON AVENUE,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,CLINTON AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/19/2023 11:12:06 AM,02 BROOKLYN,35,Precinct 88,3018730020,BROOKLYN,992683,193267,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69714602322838,-73.96958809147893,POINT (-73.969588091479 40.697146023228)
57927964,06/18/2023 12:15:04 AM,06/18/2023 12:36:28 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11433,111-45 166 STREET,166 STREET,MATHIAS AVENUE,SAYRES AVENUE,MATHIAS AVENUE,SAYRES AVENUE,ADDRESS,JAMAICA,166 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 12:36:32 AM,12 QUEENS,28,Precinct 113,4102040046,QUEENS,1044053,191321,MOBILE,Unspecified,QUEENS,,,,,,,,40.69160667281363,-73.78435028234024,POINT (-73.78435028234 40.691606672814)
57930043,06/17/2023 03:23:49 AM,06/17/2023 03:54:07 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,11210,3523 AVENUE J,AVENUE J,FLATBUSH AVENUE,BROOKLYN AVENUE,FLATBUSH AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,AVENUE J,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/17/2023 03:54:10 AM,18 BROOKLYN,45,Precinct 63,3075990076,BROOKLYN,1000532,167840,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62734358648851,-73.94134366905143,POINT (-73.941343669051 40.627343586489)
57938917,06/18/2023 08:16:19 AM,06/18/2023 08:20:29 AM,NYPD,New York City Police Department,Drug Activity,Use Outside,,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,ADDRESS,JAMAICA,164 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/18/2023 08:20:35 AM,08 QUEENS,24,Precinct 107,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,,,,,,,,40.71724956934783,-73.80343340538089,POINT (-73.803433405381 40.717249569348)
57934507,06/18/2023 09:31:28 PM,06/19/2023 01:56:22 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,,Residential Building/House,11418,89 AVENUE,89 AVENUE,89 AVENUE,115 STREET,89 AVENUE,115 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/19/2023 01:56:27 AM,09 QUEENS,29,Precinct 102,,QUEENS,1030577,193032,PHONE,Unspecified,QUEENS,,,,,,,,40.69638376284575,-73.83293285854712,POINT (-73.832932858547 40.696383762846)
57937900,06/18/2023 08:31:57 PM,06/18/2023 09:14:47 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,11104,41-49 45 STREET,45 STREET,SKILLMAN AVENUE,43 AVENUE,SKILLMAN AVENUE,43 AVENUE,ADDRESS,SUNNYSIDE,45 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 09:14:51 PM,02 QUEENS,26,Precinct 108,4001560003,QUEENS,1006696,211211,ONLINE,Unspecified,QUEENS,,,,,,,,40.746373498849415,-73.91899321881036,POINT (-73.91899321881 40.746373498849)
