Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57937415,06/18/2023 01:44:24 PM,06/18/2023 02:26:42 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11212,302 EAST   95 STREET,EAST   95 STREET,CLARKSON AVENUE,KINGS HIGHWAY,CLARKSON AVENUE,KINGS HIGHWAY,ADDRESS,BROOKLYN,EAST   95 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,06/18/2023 02:26:46 PM,17 BROOKLYN,41,Precinct 67,3046490022,BROOKLYN,1006121,179547,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65946473483403,-73.92117120672529,POINT (-73.921171206725 40.659464734834)
57939422,06/18/2023 07:16:12 PM,06/18/2023 07:57:41 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,11216,5 SPENCER PLACE,SPENCER PLACE,HANCOCK STREET,FULTON STREET,HANCOCK STREET,FULTON STREET,ADDRESS,BROOKLYN,SPENCER PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 07:57:44 PM,03 BROOKLYN,36,Precinct 79,3020000012,BROOKLYN,996853,187659,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68174839902514,-73.95456032325342,POINT (-73.954560323253 40.681748399025)
57941951,06/19/2023 07:49:17 PM,06/19/2023 08:05:43 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,Street/Sidewalk,10040,11 FORT GEORGE HILL,FORT GEORGE HILL,FAIRVIEW AVENUE,IRT-1-BROADWAY/7 AVENUE LINE,FAIRVIEW AVENUE,IRT-1-BROADWAY/7 AVENUE LINE,ADDRESS,NEW YORK,FORT GEORGE HILL,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/19/2023 08:05:49 PM,12 MANHATTAN,10,Precinct 34,1021700129,MANHATTAN,1004217,251675,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8574419860873,-73.92781950167755,POINT (-73.927819501678 40.857441986087)
57932087,06/18/2023 11:10:16 PM,06/18/2023 11:18:44 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,Club/Bar/Restaurant,11103,28-26 STEINWAY STREET,STEINWAY STREET,28 AVENUE,30 AVENUE,28 AVENUE,30 AVENUE,ADDRESS,ASTORIA,STEINWAY STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 11:18:47 PM,01 QUEENS,22,Precinct 114,4006620030,QUEENS,1008094,218079,ONLINE,Unspecified,QUEENS,,,,,,,,40.765220741988855,-73.9139235357957,POINT (-73.913923535796 40.765220741989)
57933230,06/18/2023 10:42:42 AM,07/12/2023 02:53:03 PM,EDC,Economic Development Corporation,Noise - Helicopter,Other,Flying Too Low,Above Address,10023,125 WEST   73 STREET,WEST   73 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   73 STREET,,Closed,,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.Â  Instead, it was most likely a law enforcement or news gathering helicopter not subject to the routing protocols established for tour helicopters. It may also have been a helicopter that departed as a charter or tour from another City but flew over NYC airspace. Helicopter tours originating from outside NYC are not subject to the same City regulations as tours departing from heliports managed by NYCEDC. Any City regulation of these flights is pre-empted by federal law and subject only to the jurisdiction of the Federal Aviation Administration. To file a complaint with the FAA, you can contact the New York Flight Standards District Office at the following web address:Â https://www.faa.gov/about/office_org/field_offices/fsdo/",07/12/2023 02:53:07 PM,07 MANHATTAN,06,Precinct 20,1011450017,MANHATTAN,990010,222902,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77848889543251,-73.97920235070654,POINT (-73.979202350707 40.778488895433)
57939818,06/18/2023 01:09:52 PM,06/23/2023 11:27:00 AM,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,N/A,Street,11219,5214 15 AVENUE,15 AVENUE,52 STREET,53 STREET,52 STREET,53 STREET,ADDRESS,BROOKLYN,15 AVENUE,,Closed,,The Department of Sanitation collected the requested items.,06/23/2023 07:45:14 AM,12 BROOKLYN,44,Precinct 66,3056647507,BROOKLYN,987132,169004,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63055301509631,-73.98961702106119,POINT (-73.989617021061 40.630553015096)
57938891,06/19/2023 01:00:19 AM,06/20/2023 10:03:49 AM,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Blocking Sidewalk,Street,10036,463 WEST   47 STREET,WEST   47 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   47 STREET,,Closed,,"NYC Parks attempted to inspect the reported condition but could not find the location. Please file a new Service Request with adequate site details, including a full street address and descriptive location information.",06/20/2023 10:03:55 AM,04 MANHATTAN,03,Precinct 18,1010570006,MANHATTAN,986466,217013,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76232672383084,-73.99200062379448,POINT (-73.992000623794 40.762326723831)
57936965,06/18/2023 07:04:31 PM,06/18/2023 07:20:07 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,11377,50-01 64 STREET,64 STREET,50 AVENUE,51 AVENUE,50 AVENUE,51 AVENUE,ADDRESS,WOODSIDE,64 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 07:20:12 PM,02 QUEENS,26,Precinct 108,4023400024,QUEENS,1011454,207746,MOBILE,Unspecified,QUEENS,,,,,,,,40.73684958578806,-73.9018358000185,POINT (-73.901835800018 40.736849585788)
57928064,06/17/2023 11:32:12 AM,06/27/2023 07:00:01 AM,DSNY,Department of Sanitation,Obstruction,Merchandise,Sidewalk,Sidewalk,11419,121-14 LIBERTY AVENUE,LIBERTY AVENUE,121 STREET,122 STREET,121 STREET,122 STREET,ADDRESS,SOUTH RICHMOND HILL,LIBERTY AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/27/2023 07:00:09 AM,10 QUEENS,28,Precinct 106,4095750007,QUEENS,1033595,189634,PHONE,Unspecified,QUEENS,,,,,,,,40.6870407428341,-73.82207408936686,POINT (-73.822074089367 40.687040742834)
57934787,06/18/2023 06:29:49 PM,06/18/2023 06:48:27 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10033,29 CHITTENDEN AVENUE,CHITTENDEN AVENUE,WEST  186 STREET,WEST  187 STREET,WEST  186 STREET,WEST  187 STREET,ADDRESS,NEW YORK,CHITTENDEN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 06:48:31 PM,12 MANHATTAN,10,Precinct 34,1021790263,MANHATTAN,1001193,251037,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.85569718861193,-73.9387528390828,POINT (-73.938752839083 40.855697188612)
