Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57943554,06/19/2023 09:31:14 PM,06/28/2023 07:34:14 PM,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,NO GAS OR ELECTRICITY,RESIDENTIAL BUILDING,11226,73 ST PAULS PLACE,ST PAULS PLACE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/28/2023 12:00:00 AM,14 BROOKLYN,40,Precinct 70,3050610001,BROOKLYN,994461,176803,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65195417953405,-73.96320103747608,POINT (-73.963201037476 40.651954179534)
57932223,06/19/2023 12:55:45 AM,06/19/2023 01:10:17 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11228,1554 BATH AVENUE,BATH AVENUE,BAY   11 STREET,16 AVENUE,BAY   11 STREET,16 AVENUE,ADDRESS,BROOKLYN,BATH AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/19/2023 01:10:20 AM,11 BROOKLYN,50,Precinct 62,3064290036,BROOKLYN,981079,160441,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.60704926133286,-74.01142013704731,POINT (-74.011420137047 40.607049261333)
57934995,06/18/2023 08:56:47 PM,06/20/2023 03:30:23 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HOT WATER,RESIDENTIAL BUILDING,10467,2801 BARKER AVENUE,BARKER AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",06/20/2023 12:00:00 AM,11 BRONX,12,Precinct 49,2045060040,BRONX,1020434,255069,PHONE,Unspecified,BRONX,,,,,,,,40.86670591030456,-73.86917695849752,POINT (-73.869176958498 40.866705910305)
57934716,06/18/2023 10:03:22 PM,06/18/2023 10:17:01 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11206,100 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,JEFFERSON STREET,TROUTMAN STREET,ADDRESS,BROOKLYN,CENTRAL AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 10:17:05 PM,04 BROOKLYN,34,Precinct 83,3031720031,BROOKLYN,1003827,194490,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.700485235838045,-73.92939596744132,POINT (-73.929395967441 40.700485235838)
57932664,06/18/2023 05:37:40 PM,06/21/2023 11:47:40 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,MICE,RESIDENTIAL BUILDING,11206,326 THROOP AVENUE,THROOP AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/21/2023 12:00:00 AM,03 BROOKLYN,36,Precinct 79,3017720051,BROOKLYN,1000058,191850,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69324658689844,-73.94299497716253,POINT (-73.942994977163 40.693246586898)
57937839,06/18/2023 09:45:26 PM,06/18/2023 11:14:50 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,,Park/Playground,10455,CAULDWELL AVENUE,CAULDWELL AVENUE,CAULDWELL AVENUE,EAST  149 STREET,CAULDWELL AVENUE,EAST  149 STREET,INTERSECTION,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,06/18/2023 11:14:55 PM,01 BRONX,17,Precinct 40,,BRONX,1008900,235714,ONLINE,Unspecified,BRONX,,,,,,,,40.81362184509017,-73.91094917200421,POINT (-73.910949172004 40.81362184509)
57929982,06/17/2023 04:10:04 PM,06/17/2023 04:17:02 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,Club/Bar/Restaurant,10002,ORCHARD STREET,ORCHARD STREET,ORCHARD STREET,STANTON STREET,ORCHARD STREET,STANTON STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/17/2023 04:17:08 PM,03 MANHATTAN,01,Precinct 7,,MANHATTAN,987431,202125,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72146257993042,-73.98852418166187,POINT (-73.988524181662 40.72146257993)
57929514,06/18/2023 12:02:46 AM,06/18/2023 12:40:04 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,,Street/Sidewalk,10033,WEST  176 STREET,WEST  176 STREET,RAFAEL CORPORAN DE LOS SANTOS WY,FORT WASHINGTON AVENUE,RAFAEL CORPORAN DE LOS SANTOS WY,FORT WASHINGTON AVENUE,BLOCKFACE,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 12:40:07 AM,Unspecified MANHATTAN,,Precinct 33,,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,,,,,,,
57935751,06/18/2023 02:31:42 AM,06/18/2023 04:07:01 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11421,87-31 87 STREET,87 STREET,JAMAICA AVENUE,88 AVENUE,JAMAICA AVENUE,88 AVENUE,ADDRESS,WOODHAVEN,87 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,06/18/2023 04:07:07 AM,09 QUEENS,32,Precinct 102,4089250044,QUEENS,1023904,191439,MOBILE,Unspecified,QUEENS,,,,,,,,40.6920437691528,-73.8570067534558,POINT (-73.857006753456 40.692043769153)
57939225,06/18/2023 03:00:29 AM,06/18/2023 03:05:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10453,EAST  176 STREET,EAST  176 STREET,EAST  176 STREET,JEROME AVENUE,EAST  176 STREET,JEROME AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 03:05:07 AM,05 BRONX,14,Precinct 46,,BRONX,1008685,248472,PHONE,Unspecified,BRONX,,,,,,,,40.84863947227845,-73.91167941229558,POINT (-73.911679412296 40.848639472278)
