Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57928705,06/18/2023 01:30:12 AM,06/18/2023 01:55:06 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,11368,55-29 108 STREET,108 STREET,OTIS AVENUE,VAN DOREN STREET,OTIS AVENUE,VAN DOREN STREET,ADDRESS,CORONA,108 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 01:55:14 AM,04 QUEENS,21,Precinct 110,,QUEENS,1024834,209137,ONLINE,Unspecified,QUEENS,,,,,,,,40.74061625484983,-73.85354645863285,POINT (-73.853546458633 40.74061625485)
57940639,06/18/2023 10:51:57 PM,06/18/2023 11:02:17 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10452,936 OGDEN AVENUE,OGDEN AVENUE,WEST  161 STREET,WEST  162 STREET,WEST  161 STREET,WEST  162 STREET,ADDRESS,BRONX,OGDEN AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 11:02:22 PM,04 BRONX,16,Precinct 44,2025110027,BRONX,1003544,242157,MOBILE,Unspecified,BRONX,,,,,,,,40.831319371764394,-73.93027977419098,POINT (-73.930279774191 40.831319371764)
57932062,06/18/2023 08:29:00 AM,06/18/2023 08:57:49 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,Street/Sidewalk,11216,496 GATES AVENUE,GATES AVENUE,MARCY AVENUE,TOMPKINS AVENUE,MARCY AVENUE,TOMPKINS AVENUE,ADDRESS,BROOKLYN,GATES AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,06/18/2023 08:57:52 AM,03 BROOKLYN,36,Precinct 79,3018140016,BROOKLYN,999150,189467,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68670737694559,-73.94627457376002,POINT (-73.94627457376 40.686707376946)
57929812,06/17/2023 07:28:04 PM,06/17/2023 08:36:34 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,,Store/Commercial,11433,107-16 GUY R BREWER BOULEVARD,GUY R BREWER BOULEVARD,107 AVENUE,108 AVENUE,107 AVENUE,108 AVENUE,ADDRESS,JAMAICA,GUY R BREWER BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/17/2023 08:36:38 PM,12 QUEENS,28,Precinct 103,4101400007,QUEENS,1041897,193546,ONLINE,Unspecified,QUEENS,,,,,,,,40.697728070660865,-73.79210575043034,POINT (-73.79210575043 40.697728070661)
57938407,06/18/2023 08:46:37 PM,06/18/2023 09:04:37 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10025,29 WEST   92 STREET,WEST   92 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   92 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 09:04:41 PM,07 MANHATTAN,06,Precinct 24,1012060023,MANHATTAN,993250,226920,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78951452987046,-73.96749829094448,POINT (-73.967498290944 40.78951452987)
57929173,06/17/2023 08:49:43 PM,06/17/2023 09:31:29 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11368,34-21 105 STREET,105 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,CORONA,105 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/17/2023 09:31:32 PM,03 QUEENS,21,Precinct 115,4017470092,QUEENS,1022112,214633,MOBILE,Unspecified,QUEENS,,,,,,,,40.75571344585187,-73.86333825147287,POINT (-73.863338251473 40.755713445852)
57931927,06/18/2023 07:00:21 AM,06/18/2023 12:49:07 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11419,107-54 108 STREET,108 STREET,107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,ADDRESS,SOUTH RICHMOND HILL,108 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,06/18/2023 12:49:12 PM,10 QUEENS,28,Precinct 106,4095450037,QUEENS,1030793,187219,PHONE,Unspecified,QUEENS,,,,,,,,40.680427308735766,-73.83219406673504,POINT (-73.832194066735 40.680427308736)
57934330,06/18/2023 10:57:50 AM,05/13/2025 04:51:08 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street Tree,Street,11104,41-17 GREENPOINT AVENUE,GREENPOINT AVENUE,41 STREET,42 STREET,41 STREET,42 STREET,ADDRESS,SUNNYSIDE,GREENPOINT AVENUE,,Closed,,"In an effort to more fully and efficiently service each city block, NYC Parks is shifting their street tree planting program to a neighborhood approach.  If the site that you requested meets the criteria for planting, NYC Parks will plant a tree through their new Neighborhood Tree Planting Program.   NYC Parks is no longer accepting new tree planting requests. Each neighborhood will be surveyed, inspected, and planted sequentially. NYC Parks foresters will be conducting tree removal, stump removal, and planting block by block and closing all unplantable tree beds. The most heat-vulnerable neighborhoods will be prioritized first.  To learn more about this program, visit nyc.gov/parks/street-tree-planting.  To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",05/13/2025 04:51:15 PM,02 QUEENS,26,Precinct 108,4001960001,QUEENS,1005366,208927,ONLINE,Unspecified,QUEENS,,,,,,,,40.74010776733969,-73.9238003073305,POINT (-73.92380030733 40.74010776734)
57929776,06/17/2023 07:32:00 PM,06/21/2023 05:55:00 AM,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,,Street,11369,26-38 91 STREET,91 STREET,ASTORIA BOULEVARD,30 AVENUE,,,ADDRESS,EAST ELMHURST,,,Closed,,The Department of Sanitation (DSNY) tagged the vehicle to confirm it was abandoned. The owner then claimed the vehicle. DSNY closed your Service Request. No further action will be taken.,06/21/2023 12:00:00 PM,03 QUEENS,22,Precinct 115,4013640037,QUEENS,1018009,217147,PHONE,Unspecified,QUEENS,,,,,,,,40.76263034320679,-73.87813526214106,POINT (-73.878135262141 40.762630343207)
57939478,06/18/2023 10:02:42 PM,06/18/2023 10:47:14 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11226,180 LENOX ROAD,LENOX ROAD,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,LENOX ROAD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 10:47:21 PM,17 BROOKLYN,40,Precinct 67,3050840042,BROOKLYN,997068,177517,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65391056381976,-73.95380443229466,POINT (-73.953804432295 40.65391056382)
57931882,06/18/2023 04:53:00 PM,06/18/2023 06:45:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),SA,,10314,3955 VICTORY BOULEVARD,VICTORY BOULEVARD,TOWERS LN,LEROY ST,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,06/18/2023 06:45:00 PM,02 STATEN ISLAND,50,Precinct 121,5027830053,STATEN ISLAND,932445,155796,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.59414884599435,-74.18653621806408,POINT (-74.186536218064 40.594148845994)
57929560,06/17/2023 09:22:52 AM,06/17/2023 09:34:29 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/17/2023 09:34:37 AM,08 QUEENS,24,Precinct 107,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,,,,,,,,40.72195913199264,-73.80969682426189,POINT (-73.809696824262 40.721959131993)
