Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57939038,06/19/2023 12:45:57 AM,06/19/2023 12:53:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,Store/Commercial,11377,56-15 NORTHERN BOULEVARD,NORTHERN BOULEVARD,56 STREET,57 STREET,56 STREET,57 STREET,ADDRESS,WOODSIDE,NORTHERN BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/19/2023 12:53:10 AM,01 QUEENS,25,Precinct 114,4011580120,QUEENS,1010662,213826,MOBILE,Unspecified,QUEENS,,,,,,,,40.75354005380314,-73.90466981185438,POINT (-73.904669811854 40.753540053803)
57931190,06/17/2023 01:01:48 PM,06/21/2023 11:36:30 AM,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,N/A,Park,10016,613 1 AVENUE,1 AVENUE,EAST   35 STREET,EAST   36 STREET,EAST   35 STREET,EAST   36 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",06/21/2023 11:36:34 AM,06 MANHATTAN,04,Precinct 17,1009410011,MANHATTAN,991740,210536,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74454610782373,-73.97296961275899,POINT (-73.972969612759 40.744546107824)
57937139,06/18/2023 09:04:49 PM,06/18/2023 09:37:42 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10032,567 WEST  173 STREET,WEST  173 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  173 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 09:37:49 PM,12 MANHATTAN,10,Precinct 33,1021300026,MANHATTAN,1001715,246731,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.843877478115026,-73.93687708142336,POINT (-73.936877081423 40.843877478115)
57930668,06/18/2023 01:44:32 AM,06/18/2023 02:11:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,Club/Bar/Restaurant,10019,311 WEST   57 STREET,WEST   57 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   57 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/18/2023 02:11:54 AM,04 MANHATTAN,06,Precinct 18,1010480026,MANHATTAN,988820,218712,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76698913667887,-73.98350193653141,POINT (-73.983501936531 40.766989136679)
57934466,06/18/2023 11:31:50 AM,06/18/2023 11:43:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11692,57-15 SHORE FRONT PARKWAY,SHORE FRONT PARKWAY,BEACH   56 PLACE,BEACH   59 STREET,BEACH   56 PLACE,BEACH   59 STREET,ADDRESS,ARVERNE,SHORE FRONT PARKWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 11:44:01 AM,14 QUEENS,31,Precinct 101,4159260001,QUEENS,1043179,155065,ONLINE,Unspecified,QUEENS,,,,,,,,40.59209790098616,-73.78781859628411,POINT (-73.787818596284 40.592097900986)
57943619,06/19/2023 01:12:05 PM,06/21/2023 04:24:09 PM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,ROACHES,RESIDENTIAL BUILDING,10472,1040 WARD AVENUE,WARD AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/21/2023 12:00:00 AM,09 BRONX,18,Precinct 43,2037160021,BRONX,1018451,239887,PHONE,Unspecified,BRONX,,,,,,,,40.8250437307001,-73.8764239092275,POINT (-73.876423909227 40.8250437307)
57938516,06/18/2023 08:39:07 AM,09/25/2023 10:48:19 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID,RESIDENTIAL BUILDING,11233,402 MARION STREET,MARION STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/25/2023 12:00:00 AM,16 BROOKLYN,41,Precinct 73,3015210015,BROOKLYN,1008337,187584,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68151874056629,-73.9131554507116,POINT (-73.913155450712 40.681518740566)
57934502,06/18/2023 02:33:35 AM,06/18/2023 02:49:34 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11368,37-15 104 STREET,104 STREET,37 AVENUE,37 ROAD,37 AVENUE,37 ROAD,ADDRESS,CORONA,104 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 02:49:40 AM,03 QUEENS,21,Precinct 115,,QUEENS,1022107,213684,PHONE,Unspecified,QUEENS,,,,,,,,40.753108706538406,-73.86336164187135,POINT (-73.863361641871 40.753108706538)
57932459,06/18/2023 06:58:48 AM,06/18/2023 07:35:04 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10467,GUNHILL ROAD,GUNHILL ROAD,GUNHILL ROAD,WEBSTER AVENUE,GUNHILL ROAD,WEBSTER AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 07:35:13 AM,07 BRONX,11,Precinct 52,,BRONX,1019758,259418,ONLINE,Unspecified,BRONX,,,,,,,,40.87864531280041,-73.87159798076605,POINT (-73.871597980766 40.8786453128)
57930110,06/18/2023 01:09:19 AM,06/18/2023 01:25:33 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10027,63 MORNINGSIDE AVENUE,MORNINGSIDE AVENUE,WEST  120 STREET,WEST  121 STREET,WEST  120 STREET,WEST  121 STREET,ADDRESS,NEW YORK,MORNINGSIDE AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 01:25:38 AM,10 MANHATTAN,09,Precinct 28,1019470064,MANHATTAN,996392,233816,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.808438409173654,-73.95613911536594,POINT (-73.956139115366 40.808438409174)
