label,records,chunks,submit_ms,first_chunk_ms,total_ms,chunk_records,force_linear
chunk_100_r1,3666627,36667,39.2,40.0,7145.2,100,0
chunk_100_r2,3666627,36667,95.4,96.3,7122.9,100,0
chunk_100_r3,4124656,41247,61.0,62.2,8025.8,100,0
chunk_500_r1,4124656,8250,37.1,38.1,3866.7,500,0
chunk_500_r2,4124656,8250,69.9,71.3,3752.2,500,0
chunk_500_r3,4124656,8250,36.0,37.4,4070.1,500,0
chunk_1000_r1,4124656,4125,77.2,79.2,3467.0,1000,0
chunk_1000_r2,4124656,4125,82.5,84.4,3620.5,1000,0
chunk_1000_r3,4124656,4125,80.9,82.8,3704.5,1000,0
chunk_2000_r1,4124656,2220,149.1,152.9,3652.2,2000,0
chunk_2000_r2,4124656,2063,86.0,88.1,3420.8,2000,0
chunk_2000_r3,4124656,2063,92.1,94.6,3424.3,2000,0
chunk_5000_r1,4124656,3764,87.3,90.9,3462.4,5000,0
chunk_5000_r2,4124656,2917,62.4,67.8,3393.5,5000,0
chunk_5000_r3,4124656,3177,61.5,67.5,3297.9,5000,0
