label,records,chunks,submit_ms,first_chunk_ms,total_ms,chunk_records,force_linear
indexed_v2_r1,19317,4,7.4,10.8,18.7,1000,0
indexed_v2_r2,19317,4,3.2,7.1,15.5,1000,0
indexed_v2_r3,19317,4,2.7,5.2,11.4,1000,0
indexed_v2_r4,19317,4,3.1,6.5,14.4,1000,0
indexed_v2_r5,19317,4,3.3,7.2,16.1,1000,0
linear_v2_r1,19317,4,19.5,23.5,31.4,1000,1
linear_v2_r2,19317,4,19.5,23.3,30.9,1000,1
linear_v2_r3,19317,4,19.6,23.4,31.0,1000,1
linear_v2_r4,19317,4,18.7,22.2,29.7,1000,1
linear_v2_r5,19317,4,17.9,20.9,28.5,1000,1
